Sample Location,Ship Date,Sample,Project,Collection_Date,Sub-Location,Band,SPECIES,AGE,SEX,Mass(g),Wing,Culmen,Tarsus,BCI (1-5),Swab collected,IAV Matrix PCR,H5 2344 PCR,Isolation,Subtype,Single/Mix,LPAI/HPAI,CleavageSite,H5N1 Genotype,Blood Collected,NP_value_0.5threshold,NP_result,H5_SN,H5_result,Comments,MDZoonotics,SWABS,B,C,E,F,RBC,ENCOUNTER,"FULL/PARTIAL
SAMPLE","ENCOUNTERED
IN PREVIOUS
SEASON?",PrevBlood/EVial,PrevbELISA
"Sent to UMass, e vials to URI",1/14/26,25JH0319,Poplar Waterfowl,12/17/25,7,2497-85577,MALL,AHY,M,1140,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0320,Poplar Waterfowl,12/17/25,7,2497-85578,MALL,AHY,M,1260,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0322,Poplar Waterfowl,12/17/25,7,2497-85580,MALL,HY,F,960,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0323,Poplar Waterfowl,12/17/25,7,2497-85581,MALL,HY,M,1300,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0324,Poplar Waterfowl,12/17/25,1B,2497-85583,MALL,AHY,M,1180,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0325,Poplar Waterfowl,12/17/25,1B,2497-85582,MALL,AHY,M,1200,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0326,Poplar Waterfowl,12/17/25,1B,2497-85584,MALL,AHY,M,1140,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0327,Poplar Waterfowl,12/17/25,1B,2497-85586,MALL,HY,M,1440,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0328,Poplar Waterfowl,12/17/25,1B,2497-85585,MALL,AHY,M,1280,,,,3.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0329,Poplar Waterfowl,12/17/25,1B,2497-31418,MALL,AHY,M,1340,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0330,Poplar Waterfowl,12/17/25,1B,2497-85587,MALL,AHY,M,1180,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0331,Poplar Waterfowl,12/17/25,1B,2497-85588,MALL,AHY,M,1100,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0332,Poplar Waterfowl,12/17/25,1B,2497-85590,MALL,AHY,F,1020,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0333,Poplar Waterfowl,12/17/25,1B,2497-85589,MALL,HY,M,1100,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0334,Poplar Waterfowl,12/17/25,1B,2497-85592,MALL,AHY,F,950,272,54.3,47.9,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0335,Poplar Waterfowl,12/17/25,1B,2497-85591,ABDU,HY,F,940,249,52.2,43.9,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0336,Poplar Waterfowl,12/17/25,1B,2497-31460,MALL,AHY,M,1050,285,57,47.4,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0337,Poplar Waterfowl,12/18/25,5AB,2497-85594,MALL,AHY,F,960,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0338,Poplar Waterfowl,12/18/25,5AB,2497-85593,MALL,AHY,F,1050,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0339,Poplar Waterfowl,12/18/25,5AB,2497-85595,MALL,AHY,F,1020,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0340,Poplar Waterfowl,12/18/25,5AB,2497-85596,MALL,AHY,M,1250,,,,3,Y,,,,,,,,,Y,,,,,EVIAL ONLY,Yes,Y,N,N,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0341,Poplar Waterfowl,12/18/25,5AB,2497-85597,MALL,AHY,M,1380,,,,3.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0342,Poplar Waterfowl,12/18/25,5AB,2497-85598,MALL,AHY,M,1220,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0343,Poplar Waterfowl,12/18/25,5AB,2497-85600,MALL,AHY,M,980,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0344,Poplar Waterfowl,12/18/25,5AB,2497-85599,MALL,AHY,F,1060,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0345,Poplar Waterfowl,12/18/25,5AB,2497-85601,MALL,AHY,M,1380,,,,4,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0346,Poplar Waterfowl,12/18/25,5AB,2497-85602,MALL,HY,M,1180,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0347,Poplar Waterfowl,12/18/25,5AB,2497-85603,ABDU,HY,M,1160,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0348,Poplar Waterfowl,12/18/25,3D,2497-85606,MALL,AHY,M,1060,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0349,Poplar Waterfowl,12/18/25,3D,2497-85605,MALL,AHY,M,1040,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0350,Poplar Waterfowl,12/18/25,5AB,2497-85604,MALL,AHY,M,1180,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0351,Poplar Waterfowl,12/18/25,3D,2497-85607,MALL,AHY,M,1220,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0352,Poplar Waterfowl,12/18/25,3D,2497-85608,MALL,AHY,M,1200,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0353,Poplar Waterfowl,12/18/25,3D,2497-85609,MALL,AHY,M,1220,,,,2.5,Y,,,,,,,,,Y,,,,,FOOT NOT WEBBED?,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0354,Poplar Waterfowl,12/18/25,3D,2497-85610,MALL,AHY,M,1060,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0355,Poplar Waterfowl,12/18/25,3D,2497-85611,MALL,AHY,M,1180,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0356,Poplar Waterfowl,12/18/25,3D,2227-24451,MALL,AHY,F,1000,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,11/7/24,,
"Sent to UMass, e vials to URI",1/14/26,25JH0357,Poplar Waterfowl,12/18/25,3D,2497-85612,MALL,AHY,F,1020,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0358,Poplar Waterfowl,12/18/25,3D,2497-85613,MALL,AHY,F,1120,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0359,Poplar Waterfowl,12/18/25,3D,2497-85615,ABDU,AHY,F,1200,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0360,Poplar Waterfowl,12/18/25,3D,2497-85614,MALL,HY,F,940,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0361,Poplar Waterfowl,12/18/25,3D,2497-85616,MALL,AHY,M,1200,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0362,Poplar Waterfowl,12/18/25,3D,2497-85617,MALL,HY,M,1180,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0363,Poplar Waterfowl,12/18/25,3D,2497-85618,MALL,AHY,M,1320,,,,3.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0364,Poplar Waterfowl,12/18/25,3D,2497-85619,MALL,AHY,M,1060,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0365,Poplar Waterfowl,12/18/25,3D,2497-85620,MALL,HY,M,1120,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0366,Poplar Waterfowl,12/18/25,3D,2497-85621,MALL,HY,M,1160,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0367,Poplar Waterfowl,12/18/25,3D,2497-85622,MALL,AHY,F,1020,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0368,Poplar Waterfowl,12/18/25,3D,2497-85623,MALL,HY,M,1300,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0369,Poplar Waterfowl,12/18/25,7,2497-85626,ABDU,HY,M,1400,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0370,Poplar Waterfowl,12/18/25,7,2497-85625,ABDU,AHY,M,1300,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0371,Poplar Waterfowl,12/18/25,7,2497-85624,MALL,AHY,F,1050,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0372,Poplar Waterfowl,12/18/25,1B,2497-85331,MALL,AHY,M,,,,,,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,,Y,N,Y,2,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0373,Poplar Waterfowl,12/18/25,1B,2497-33135,MALL,AHY,F,1140,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,"2/5/25, 12/11/24",,
"Sent to UMass, e vials to URI",1/14/26,25JH0374,Poplar Waterfowl,12/18/25,1B,2497-85627,MALL,AHY,M,1250,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0375,Poplar Waterfowl,12/18/25,1B,2257-85620,MALL,AHY,F,1020,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0376,Poplar Waterfowl,12/18/25,1B,2497-85628,MALL,AHY,M,1100,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0377,Poplar Waterfowl,12/18/25,1B,2497-85629,MALL,AHY,M,1000,,,,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0378,Poplar Waterfowl,12/18/25,1B,2497-85630,ABDU,AHY,F,950,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0379,Poplar Waterfowl,12/18/25,1B,2497-85631,MALL,AHY,F,1050,,,,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0380,Poplar Waterfowl,12/18/25,1B,2497-85632,MALL,AHY,F,975,,,,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0381,Poplar Waterfowl,12/18/25,1B,2497-85633,ABDU,AHY,M,1250,,,,4,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP416,Poplar Waterfowl,11/20/25,7,2497-33206,MALL,HY,M,1180,279,54.3,44.6,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP417,Poplar Waterfowl,11/20/25,7,2497-33015,MALL,AHY,F,1190,265,51.1,44.7,3,Y,,,,,,,,,Y,,,,,EVIAL ONLY,Yes,Y,N,N,Y,N,N,1,FULL,"3/11/25, 11/20/24",,
"Sent to UMass, e vials to URI",1/14/26,MDP418,Poplar Waterfowl,11/20/25,7,2497-33207,MALL,AHY,M,1120,283,54,45.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP419,Poplar Waterfowl,11/20/25,7,2497-33208,MALL,AHY,F,1060,261,49.7,44.4,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP420,Poplar Waterfowl,11/20/25,7,1165-76716,NSHO,AHY,M,480,247,65,38.6,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP421,Poplar Waterfowl,11/20/25,7,1165-75760,NSHO,AHY,M,520,242,67.7,39.5,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP422,Poplar Waterfowl,11/20/25,3D,2497-33209,MALL,HY,F,1000,273,48.3,43.8,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP424,Poplar Waterfowl,11/21/25,1B,2497-23135,MALL,AHY,F,1160,268,52.6,46,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP425,Poplar Waterfowl,11/21/25,1B,2497-33211,MALL,AHY,F,1150,278,51.1,48.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP426,Poplar Waterfowl,11/21/25,1B,2497-33212,MALL,AHY,F,1640,250,54.7,43.5,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP427,Poplar Waterfowl,11/21/25,1B,2497-33213,MALL,AHY,F,1020,259,50,44.1,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP428,Poplar Waterfowl,11/21/25,1B,2497-33214,MALL,AHY,M,1100,291,54,48.8,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP429,Poplar Waterfowl,11/21/25,1B,2497-33215,MALL,HY,M,1120,265,50.9,47.3,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP430,Poplar Waterfowl,11/21/25,1B,2497-33216,MALL,AHY,M,1400,295,53.1,46.8,3.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP431,Poplar Waterfowl,11/21/25,1B,2497-33217,MALL,AHY,M,1390,292,57,48.9,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP432,Poplar Waterfowl,11/21/25,1B,2497-33218,MALL,HY,M,1150,260,55,45.4,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP434,Poplar Waterfowl,11/21/25,1B,2497-33220,MALL,AHY,M,1360,289,58,47.3,4,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP435,Poplar Waterfowl,11/21/25,1B,2497-33221,MALL,AHY,M,1260,280,55.5,47.8,4,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP436,Poplar Waterfowl,11/21/25,1B,2497-33222,MALL,AHY,M,1400,280,53.7,50,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP437,Poplar Waterfowl,11/21/25,1B,2497-33223,MALL,AHY,M,1180,277,54.6,49.9,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP438,Poplar Waterfowl,11/21/25,1B,2227-24568,MALL,AHY,M,1140,280,55.6,46.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP440,Poplar Waterfowl,11/21/25,1B,2497-33225,MALX,AHY,M,1100,278,52.7,46.2,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP441,Poplar Waterfowl,11/21/25,1B,2497-33226,ABDX,AHY,M,1320,271,56.5,48.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP442,Poplar Waterfowl,11/21/25,1B,2227-24587,ABDX,AHY,M,1100,287,52.5,49.8,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,N,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP443,Poplar Waterfowl,11/21/25,1B,2227-24538,ABDU,AHY,F,1110,271,51.1,46.9,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,11/14/24,,
"Sent to UMass, e vials to URI",1/14/26,MDP444,Poplar Waterfowl,11/21/25,1B,2497-33227,MALX,AHY,F,1230,275,56.2,46.8,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP445,Poplar Waterfowl,11/21/25,3D,2497-33228,MALL,AHY,M,1020,277,55.8,45.9,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP446,Poplar Waterfowl,11/21/25,3D,2497-33229,ABDU,HY,F,760,255,50.5,47.1,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP447,Poplar Waterfowl,11/25/25,7,1165-75761,NSHO,AHY,M,560,247,64,38.2,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP449,Poplar Waterfowl,11/25/25,7,2497-33230,MALL,AHY,M,1140,266,54.6,44.9,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP450,Poplar Waterfowl,11/25/25,7,2497-33221,MALL,AHY,M,,,,,,N,,,,,,,,,Y,,,,,Bled twice,Yes,N,Y,Y,Y,Y,Y,2,PARTIAL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP451,Poplar Waterfowl,11/25/25,7,2497-33231,MALL,AHY,M,1050,277,52.6,44.9,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP452,Poplar Waterfowl,11/25/25,7,2497-33232,MALL,AHY,M,1060,291,53,45.3,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP453,Poplar Waterfowl,11/25/25,7,2497-33233,MALL,AHY,M,1160,295,53.3,42.5,3,Y,,,,,,,,,Y,,,,,EVIAL ONLY,Yes,Y,N,N,Y,N,N,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP454,Poplar Waterfowl,11/25/25,7,2497-33234,MALL,AHY,M,1280,299,55.1,46.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,N,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP457,Poplar Waterfowl,11/25/25,7,2497-33237,MALL,AHY,M,1100,285,57.8,45.5,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP458,Poplar Waterfowl,11/25/25,7,2497-33238,MALL,AHY,F,990,275,55.2,46.8,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP461,Poplar Waterfowl,11/25/25,7,2497-33241,MALL,AHY,M,1350,297,53.8,44,3.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP462,Poplar Waterfowl,11/25/25,7,N/A,MALL,AHY,F,1200,260,52.8,44.5,-,Y,,,,,,,,,Y,,,,,"MORTALITY IN TRAP, NOT BANDED, EVIAL ONLY. STRANGE GROWTH IN BODY CAVITY, SJD HAS PICS",Yes,Y,Y,Y,Y,N,N,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP463,Poplar Waterfowl,11/25/25,7,2497-33242,MALL,AHY,M,1150,283,56.2,46.8,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP465,Poplar Waterfowl,11/25/25,7,2497-33244,MALL,HY,M,1180,268,55.5,46.5,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP466,Poplar Waterfowl,11/25/25,7,2227-24515,ABDU,AHY,M,1350,280,57,46.9,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,11/14/24,,
"Sent to UMass, e vials to URI",1/14/26,MDP467,Poplar Waterfowl,11/25/25,7,2497-33245,ABDU,HY,F,1120,270,48.5,45.3,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP468,Poplar Waterfowl,11/25/25,7,2497-33246,ABDU,AHY,M,1350,287,55.6,46.1,3,Y,,,,,,,,,Y,,,,,EVIAL ONLY,Yes,Y,N,N,Y,N,N,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP469,Poplar Waterfowl,11/25/25,7,2497-33247,ABDX,HY,F,1050,264,50.9,45.6,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP470,Poplar Waterfowl,11/25/25,7,2497-33248,ABDU,AHY,F,1300,282,53.2,46.2,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,MDP471,Poplar Waterfowl,11/25/25,7,2497-33249,ABDX,AHY,M,1050,272,53.1,46.9,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
